Instrument Name,SDS2104X HD
Serial Number,SDS2HBAX6R0124
Software Version,2.6.1.2.1.1
Awg Type,USB
DUT Input Source,CH4
DUT Output Source1,CH1
DUT Output Source2,CH2
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,1V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,100Hz
Stop Frequency,1000000Hz
Sweep Line,400
Sweep Log(dec),20
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-70.2dB,-22.2dB
Phase Unit,Degree
Phase Axis Range,-200Deg,0Deg
Bode Data
Number of Points,81
Frequency(Hz),CH1 Amplitude(dB),CH1 Phase(Deg),CH2 Amplitude(dB),CH2 Phase(Deg)
100,0.0130968441,-1.19590744,-33.9263355,88.2384129
112.201845,0.00729680987,-1.35280926,-32.9614999,88.0330135
125.892541,0.00525304973,-1.49875138,-31.9484596,87.9012471
141.253754,0.00308015845,-1.66785075,-30.9663578,87.7714909
158.489319,0.00192641119,-1.87032611,-29.9614945,87.2337195
177.827941,-0.00554177304,-2.07139637,-28.9640731,87.1543771
199.526231,-0.0074105709,-2.31793055,-27.9539452,86.957656
223.872114,-0.00671669748,-2.58116839,-26.9703024,86.6028816
251.188643,-0.0151438015,-2.89600584,-25.966335,86.4189848
281.838293,-0.0170839401,-3.22517063,-25.0040954,85.7989615
316.227766,-0.0275855063,-3.6041319,-24.0055704,85.4456545
354.813389,-0.0316822695,-4.04651396,-23.0189858,84.977357
398.107171,-0.0327038858,-4.51987461,-22.017587,84.4289499
446.683592,-0.0441697803,-5.06118808,-21.0397969,83.9312704
501.187234,-0.0551293091,-5.67890285,-20.06547,83.1395823
562.341325,-0.0691288736,-6.35238145,-19.0838505,82.473782
630.957344,-0.0812123103,-7.10967476,-18.1048952,81.6753561
707.945784,-0.101367684,-7.9510028,-17.1311626,80.7789645
794.328235,-0.126467389,-8.8907923,-16.1697445,79.7872585
891.250938,-0.159038683,-9.93180668,-15.22755,78.6382412
1000,-0.194635938,-11.0928847,-14.2855162,77.4176573
1122.01845,-0.238376655,-12.3712246,-13.3500688,76.0729792
1258.92541,-0.294631658,-13.8004241,-12.426621,74.5798505
1412.53754,-0.363551268,-15.3602527,-11.514564,72.9360742
1584.89319,-0.445608314,-17.0903828,-10.6085981,71.1599925
1778.27941,-0.53838505,-18.9801372,-9.71560356,69.1983135
1995.26231,-0.663924444,-21.0487859,-8.87386893,67.0731624
2238.72114,-0.809140555,-23.2875123,-8.04677685,64.7881639
2511.88643,-0.996257551,-25.6914981,-7.24372165,62.3331157
2818.38293,-1.19980024,-28.2928836,-6.48292142,59.7039232
3162.27766,-1.45402597,-31.0488827,-5.76051047,56.9082928
3548.13389,-1.74361534,-33.9433968,-5.10214272,53.9887292
3981.07171,-2.08449738,-36.9624123,-4.4735572,50.9694675
4466.83592,-2.47069886,-40.0661272,-3.89497903,47.8562254
5011.87234,-2.91003855,-43.2309382,-3.36979933,44.6872958
5623.41325,-3.39056336,-46.418133,-2.89653467,41.5237053
6309.57344,-3.93878518,-49.5809162,-2.46645927,38.379962
7079.45784,-4.539557,-52.6782989,-2.10301297,35.3259908
7943.28235,-5.18510474,-55.6832046,-1.79119701,32.3549052
8912.50938,-5.88131602,-58.5645206,-1.52325486,29.5291632
10000,-6.61724503,-61.2871565,-1.29410436,26.8555491
11220.1845,-7.41963809,-63.8495683,-1.10957941,24.3369017
12589.2541,-8.23584177,-66.2542944,-0.951301577,22.0036853
14125.3754,-9.07142669,-68.4679843,-0.822126475,19.8440548
15848.9319,-9.93259452,-70.4964145,-0.713298165,17.8660907
17782.7941,-10.8166166,-72.3740283,-0.627859014,16.0518354
19952.6231,-11.7288798,-74.0711646,-0.557650574,14.4037401
22387.2114,-12.6457128,-75.6264897,-0.490951327,12.9148014
25118.8643,-13.5781385,-77.0362893,-0.445107284,11.5640464
28183.8293,-14.5199465,-78.2740314,-0.403290662,10.348361
31622.7766,-15.4662357,-79.4179445,-0.378225355,9.24269796
35481.3389,-16.4214397,-80.4278533,-0.352912949,8.26439188
39810.7171,-17.3802239,-81.3393719,-0.330188138,7.38442827
44668.3592,-18.349582,-82.1754807,-0.323918404,6.59747921
50118.7234,-19.3207471,-82.8929908,-0.312723802,5.88217996
56234.1325,-20.2964592,-83.5335366,-0.300573402,5.25413538
63095.7344,-21.267281,-84.0988188,-0.291776287,4.68968132
70794.5784,-22.2556785,-84.6006489,-0.28844928,4.18407332
79432.8235,-23.2358766,-85.0188452,-0.283182086,3.73437275
89125.0938,-24.2544609,-85.4226626,-0.279908098,3.32732249
100000,-25.2408383,-85.7821261,-0.275239991,2.96114649
112201.845,-26.2204008,-86.0250894,-0.272221106,2.64299878
125892.541,-27.2163153,-86.311998,-0.269765068,2.35394562
141253.754,-28.1982948,-86.491942,-0.267471793,2.09771148
158489.319,-29.1967107,-86.66514,-0.265745437,1.87038755
177827.941,-30.2120517,-86.7546312,-0.26192882,1.66321179
199526.231,-31.2159629,-86.8850265,-0.258847716,1.47774329
223872.114,-32.2132819,-86.8463195,-0.261767156,1.31271687
251188.643,-33.21352,-86.856606,-0.260821779,1.16473735
281838.293,-34.2273876,-86.7890691,-0.261435161,1.0369985
316227.766,-35.2652904,-86.7426167,-0.261913304,0.918397597
354813.389,-36.2878961,-86.6007642,-0.262622784,0.821265361
398107.171,-37.3100403,-86.4683647,-0.258215237,0.732307605
446683.592,-38.3664693,-86.1403514,-0.263181603,0.649154859
501187.234,-39.4029936,-85.9200078,-0.266609786,0.57575883
562341.325,-40.4888486,-85.6458509,-0.263879106,0.511496606
630957.344,-41.5691931,-85.0384416,-0.267875244,0.450197832
707945.784,-42.6843407,-84.4397941,-0.264503637,0.406296962
794328.235,-43.7966441,-83.8275391,-0.261995327,0.35902823
891250.938,-44.9614031,-83.1206137,-0.263869279,0.325096126
1000000,-46.1460776,-81.660095,-0.264301575,0.278223004
